operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.644            0.896         9.356          13.447    
OperationGenerateGraph                               1570.981            0.000      1570.981        1570.981    
OperationShutdownGraph                                  0.554            0.478         0.201           2.043    
OperationDoGC                                        3499.922            5.148      3488.827        3505.898    
OperationGetManyVertices                              160.175            0.000       160.175         160.175    
OperationGetManyVertexProperties                      119.864            0.000       119.864         119.864    
OperationGetManyEdges                                 221.194            0.000       221.194         221.194    
OperationGetManyEdgeProperties                         95.711            0.000        95.711          95.711    
OperationGetFirstNeighbor                               0.315            0.106         0.073           0.927    
OperationGetRandomNeighbor                              0.253            0.103         0.062           0.625    
OperationGetAllNeighbors                                0.695            1.005         0.071          18.026    
OperationGetKFirstNeighbors                             0.368            0.149         0.075           0.748    
OperationGetKRandomNeighbors                            0.294            0.134         0.059           0.911    
OperationGetKHopNeighbors                               4.285            9.428         0.082         174.191    
OperationGetShortestPath                               19.621           33.589         0.888         136.953    
OperationGlobalClusteringCoefficient                19187.984            0.000     19187.984       19187.984    
OperationNetworkAverageClusteringCoefficient         5394.536            0.000      5394.536        5394.536    
