operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.761            0.860         9.478          13.309    
OperationGenerateGraph                               3127.598            0.000      3127.598        3127.598    
OperationShutdownGraph                                  0.566            0.409         0.166           1.421    
OperationDoGC                                        3506.348            9.676      3490.913        3530.452    
OperationGetManyVertices                              124.991            0.000       124.991         124.991    
OperationGetManyVertexProperties                      165.920            0.000       165.920         165.920    
OperationGetManyEdges                                 183.122            0.000       183.122         183.122    
OperationGetManyEdgeProperties                        219.696            0.000       219.696         219.696    
OperationGetFirstNeighbor                               0.380            0.095         0.133           0.696    
OperationGetRandomNeighbor                              0.321            0.107         0.064           0.634    
OperationGetAllNeighbors                                0.728            0.979         0.079          18.806    
OperationGetKFirstNeighbors                             0.359            0.167         0.062           0.955    
OperationGetKRandomNeighbors                            0.447            0.161         0.073           1.640    
OperationGetKHopNeighbors                               3.944            4.941         0.062          53.025    
OperationGetShortestPath                               57.717           56.127         0.887         148.381    
OperationGlobalClusteringCoefficient                33647.335            0.000     33647.335       33647.335    
OperationNetworkAverageClusteringCoefficient        13448.222            0.000     13448.222       13448.222    
