operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     12.301            1.121        10.597          15.002    
OperationGenerateGraph                               1524.768            0.000      1524.768        1524.768    
OperationShutdownGraph                                  0.924            1.265         0.213           4.873    
OperationDoGC                                        3504.625            5.213      3496.472        3511.430    
OperationGetManyVertices                               77.473            0.000        77.473          77.473    
OperationGetManyVertexProperties                      119.528            0.000       119.528         119.528    
OperationGetManyEdges                                 172.758            0.000       172.758         172.758    
OperationGetManyEdgeProperties                        203.169            0.000       203.169         203.169    
OperationGetFirstNeighbor                               0.337            0.096         0.133           0.693    
OperationGetRandomNeighbor                              0.265            0.106         0.063           0.884    
OperationGetAllNeighbors                                0.714            1.118         0.065          15.336    
OperationGetKFirstNeighbors                             0.346            0.156         0.062           0.754    
OperationGetKRandomNeighbors                            0.297            0.145         0.064           0.820    
OperationGetKHopNeighbors                               3.642            8.838         0.073         206.051    
OperationGetShortestPath                               14.475           27.650         0.874         132.305    
OperationGlobalClusteringCoefficient                16935.177            0.000     16935.177       16935.177    
OperationNetworkAverageClusteringCoefficient         4838.175            0.000      4838.175        4838.175    
