operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1309464884615384E7;730695.7085395938;8813079.0;1.2000432E7;
OperationGenerateGraph;1.555886183E9;0.0;1.555886183E9;1.555886183E9;
OperationShutdownGraph;570820.1153846154;471468.8367819909;183351.0;1878595.0;
OperationDoGC;3.5092230611153846E9;1.4287485248508515E7;3.488888131E9;3.556292747E9;
OperationGetManyVertices;1.09662759E8;0.0;1.09662759E8;1.09662759E8;
OperationGetManyVertexProperties;1.31440605E8;0.0;1.31440605E8;1.31440605E8;
OperationGetManyEdges;2.16994328E8;0.0;2.16994328E8;2.16994328E8;
OperationGetManyEdgeProperties;1.71999969E8;0.0;1.71999969E8;1.71999969E8;
OperationGetFirstNeighbor;318741.04;110780.7281980868;60017.0;930005.0;
OperationGetRandomNeighbor;173382.27;66000.94847419311;56222.0;515624.0;
OperationGetAllNeighbors;508371.233;505555.55288811406;56389.0;5510718.0;
OperationGetKFirstNeighbors;442372.9066;455913.13902429224;46829.0;2.6258544E7;
OperationGetKRandomNeighbors;414267.694;263584.9713138571;53973.0;2339765.0;
OperationGetKHopNeighbors;5.59568111316E7;1.229623969840802E8;52643.0;6.71577148E8;
OperationGetShortestPath;3.8871896954E7;4.966904650660647E7;874859.0;1.37021255E8;
OperationGlobalClusteringCoefficient;2.2380980137E10;0.0;2.2380980137E10;2.2380980137E10;
OperationNetworkAverageClusteringCoefficient;8.424459427E9;0.0;8.424459427E9;8.424459427E9;
