operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1060443785714285E7;926951.7971531496;8668161.0;1.2011007E7;
OperationGenerateGraph;1.875720023E9;0.0;1.875720023E9;1.875720023E9;
OperationShutdownGraph;909932.7857142857;1351900.365036945;232144.0;5485056.0;
OperationDoGC;3.511586100285714E9;1.0788402690761132E7;3.49402723E9;3.530116076E9;
OperationGetManyVertices;1.15901446E8;0.0;1.15901446E8;1.15901446E8;
OperationGetManyVertexProperties;1.30425626E8;0.0;1.30425626E8;1.30425626E8;
OperationGetManyEdges;2.22160544E8;0.0;2.22160544E8;2.22160544E8;
OperationGetManyEdgeProperties;1.83957652E8;0.0;1.83957652E8;1.83957652E8;
OperationGetFirstNeighbor;329342.291;100729.88600887192;82673.0;751451.0;
OperationGetRandomNeighbor;288431.45;104485.98055862567;65243.0;876730.0;
OperationGetAllNeighbors;643800.707;582994.5340408066;68372.0;5395593.0;
OperationGetKFirstNeighbors;407138.784;155184.13156457513;69368.0;926341.0;
OperationGetKRandomNeighbors;280517.501;130197.43390285381;57005.0;880849.0;
OperationGetKHopNeighbors;4450367.596;9889454.000676837;64887.0;1.98408479E8;
OperationGetShortestPath;2.868119909E7;4.253938535803484E7;868286.0;1.4511572E8;
OperationGlobalClusteringCoefficient;1.9796454314E10;0.0;1.9796454314E10;1.9796454314E10;
OperationNetworkAverageClusteringCoefficient;6.868064224E9;0.0;6.868064224E9;6.868064224E9;
