operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.418            1.205         8.451          14.533    
OperationGenerateGraph                               1757.395            0.000      1757.395        1757.395    
OperationShutdownGraph                                  0.557            0.476         0.177           1.869    
OperationDoGC                                        3509.752           10.809      3488.090        3541.471    
OperationGetManyVertices                               75.310            0.000        75.310          75.310    
OperationGetManyVertexProperties                      126.991            0.000       126.991         126.991    
OperationGetManyEdges                                 142.253            0.000       142.253         142.253    
OperationGetManyEdgeProperties                        187.245            0.000       187.245         187.245    
OperationGetFirstNeighbor                               0.167            0.078         0.058           0.590    
OperationGetRandomNeighbor                              0.267            0.116         0.055           0.881    
OperationGetAllNeighbors                                0.642            0.895         0.057          17.824    
OperationGetKFirstNeighbors                             0.432            0.281         0.052           1.489    
OperationGetKRandomNeighbors                            0.371            0.244         0.042           1.551    
OperationGetKHopNeighbors                              35.887          101.523         0.045         646.320    
OperationGetShortestPath                               19.022           33.144         0.893         133.218    
OperationGlobalClusteringCoefficient                18717.143            0.000     18717.143       18717.143    
OperationNetworkAverageClusteringCoefficient         5366.107            0.000      5366.107        5366.107    
