operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.230136142857143E7;1121090.6438534828;1.0596507E7;1.5001975E7;
OperationGenerateGraph;1.524767718E9;0.0;1.524767718E9;1.524767718E9;
OperationShutdownGraph;924483.1428571428;1264598.5273462913;212558.0;4872953.0;
OperationDoGC;3.504624638071429E9;5213461.04133875;3.496472153E9;3.51142975E9;
OperationGetManyVertices;7.7472659E7;0.0;7.7472659E7;7.7472659E7;
OperationGetManyVertexProperties;1.19528473E8;0.0;1.19528473E8;1.19528473E8;
OperationGetManyEdges;1.72758E8;0.0;1.72758E8;1.72758E8;
OperationGetManyEdgeProperties;2.03168687E8;0.0;2.03168687E8;2.03168687E8;
OperationGetFirstNeighbor;336533.141;96035.12695663563;133062.0;693389.0;
OperationGetRandomNeighbor;264508.194;106495.71195976097;62981.0;883862.0;
OperationGetAllNeighbors;713702.682;1118348.699449114;64821.0;1.5335717E7;
OperationGetKFirstNeighbors;345535.729;156491.49898289534;62367.0;753842.0;
OperationGetKRandomNeighbors;296719.641;144691.88625502854;64176.0;820376.0;
OperationGetKHopNeighbors;3641628.086;8838093.839098275;73039.0;2.06051475E8;
OperationGetShortestPath;1.447528072E7;2.765018787913279E7;873974.0;1.32304883E8;
OperationGlobalClusteringCoefficient;1.6935177231E10;0.0;1.6935177231E10;1.6935177231E10;
OperationNetworkAverageClusteringCoefficient;4.838175027E9;0.0;4.838175027E9;4.838175027E9;
