operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.874            0.981         9.376          14.060    
OperationGenerateGraph                               1685.225            0.000      1685.225        1685.225    
OperationShutdownGraph                                  0.598            0.539         0.198           2.185    
OperationDoGC                                        3510.220            5.604      3502.004        3521.914    
OperationGetManyVertices                              120.782            0.000       120.782         120.782    
OperationGetManyVertexProperties                      123.207            0.000       123.207         123.207    
OperationGetManyEdges                                 131.940            0.000       131.940         131.940    
OperationGetManyEdgeProperties                        179.387            0.000       179.387         179.387    
OperationGetFirstNeighbor                               0.345            0.104         0.079           0.725    
OperationGetRandomNeighbor                              0.302            0.107         0.065           0.769    
OperationGetAllNeighbors                                0.673            0.652         0.066           9.892    
OperationGetKFirstNeighbors                             0.431            0.153         0.083           0.935    
OperationGetKRandomNeighbors                            0.240            0.107         0.059           0.644    
OperationGetKHopNeighbors                               4.852            9.098         0.092         196.414    
OperationGetShortestPath                               35.951           47.422         0.869         139.457    
OperationGlobalClusteringCoefficient                24241.284            0.000     24241.284       24241.284    
OperationNetworkAverageClusteringCoefficient         8838.228            0.000      8838.228        8838.228    
