operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1417904653846154E7;1205312.5071935283;8450577.0;1.4532948E7;
OperationGenerateGraph;1.757394853E9;0.0;1.757394853E9;1.757394853E9;
OperationShutdownGraph;557439.8846153846;475912.441993703;177174.0;1869075.0;
OperationDoGC;3.5097522785384617E9;1.080929328861015E7;3.488089788E9;3.54147124E9;
OperationGetManyVertices;7.5310424E7;0.0;7.5310424E7;7.5310424E7;
OperationGetManyVertexProperties;1.26990771E8;0.0;1.26990771E8;1.26990771E8;
OperationGetManyEdges;1.42252548E8;0.0;1.42252548E8;1.42252548E8;
OperationGetManyEdgeProperties;1.87244668E8;0.0;1.87244668E8;1.87244668E8;
OperationGetFirstNeighbor;167321.208;78339.88058497876;57583.0;589933.0;
OperationGetRandomNeighbor;267093.699;115978.29719270923;55223.0;880691.0;
OperationGetAllNeighbors;641968.966;895120.0446169769;56662.0;1.7824033E7;
OperationGetKFirstNeighbors;432455.0134;281284.14412847173;51623.0;1489290.0;
OperationGetKRandomNeighbors;370504.9146;244120.62571400867;41763.0;1550585.0;
OperationGetKHopNeighbors;3.58873941796E7;1.0152304665095434E8;45498.0;6.46319828E8;
OperationGetShortestPath;1.902162336E7;3.314427722118534E7;892718.0;1.33217924E8;
OperationGlobalClusteringCoefficient;1.8717143067E10;0.0;1.8717143067E10;1.8717143067E10;
OperationNetworkAverageClusteringCoefficient;5.366107011E9;0.0;5.366107011E9;5.366107011E9;
