operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1385235384615384E7;949322.9171377509;8240106.0;1.2588988E7;
OperationGenerateGraph;1.855990265E9;0.0;1.855990265E9;1.855990265E9;
OperationShutdownGraph;558897.6538461539;470162.5155770765;203677.0;2064033.0;
OperationDoGC;3.5057854148846154E9;7858587.570685565;3.485355055E9;3.518366114E9;
OperationGetManyVertices;1.01146798E8;0.0;1.01146798E8;1.01146798E8;
OperationGetManyVertexProperties;1.36031701E8;0.0;1.36031701E8;1.36031701E8;
OperationGetManyEdges;1.67720385E8;0.0;1.67720385E8;1.67720385E8;
OperationGetManyEdgeProperties;1.84294248E8;0.0;1.84294248E8;1.84294248E8;
OperationGetFirstNeighbor;196322.274;95848.3868063877;59322.0;550750.0;
OperationGetRandomNeighbor;245100.775;108795.33247201543;41426.0;655095.0;
OperationGetAllNeighbors;620218.277;644936.6402730519;57442.0;1.0570629E7;
OperationGetKFirstNeighbors;470543.8998;317902.7411132146;53917.0;1546230.0;
OperationGetKRandomNeighbors;372049.2786;254634.24518804892;51615.0;1377910.0;
OperationGetKHopNeighbors;4.51759137482E7;1.1377806446160088E8;43064.0;6.55758347E8;
OperationGetShortestPath;2.659400054E7;4.076147946467207E7;876892.0;1.35121857E8;
OperationGlobalClusteringCoefficient;2.1022532094E10;0.0;2.1022532094E10;2.1022532094E10;
OperationNetworkAverageClusteringCoefficient;6.824984692E9;0.0;6.824984692E9;6.824984692E9;
