operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.492            1.382         8.781          14.848    
OperationGenerateGraph                               2492.408            0.000      2492.408        2492.408    
OperationShutdownGraph                                  0.592            0.565         0.222           2.303    
OperationDoGC                                        3514.268            5.268      3507.359        3523.585    
OperationGetManyVertices                              114.532            0.000       114.532         114.532    
OperationGetManyVertexProperties                      142.259            0.000       142.259         142.259    
OperationGetManyEdges                                 176.041            0.000       176.041         176.041    
OperationGetManyEdgeProperties                        192.860            0.000       192.860         192.860    
OperationGetFirstNeighbor                               0.373            0.095         0.122           0.639    
OperationGetRandomNeighbor                              0.295            0.106         0.061           0.613    
OperationGetAllNeighbors                                0.550            0.633         0.057          15.935    
OperationGetKFirstNeighbors                             0.456            0.162         0.061           1.087    
OperationGetKRandomNeighbors                            0.401            0.156         0.068           0.991    
OperationGetKHopNeighbors                               4.642            6.964         0.093         106.416    
OperationGetShortestPath                               47.786           52.680         0.896         145.980    
OperationGlobalClusteringCoefficient                27266.102            0.000     27266.102       27266.102    
OperationNetworkAverageClusteringCoefficient        10605.717            0.000     10605.717       10605.717    
