operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1253911285714285E7;1331800.3612044128;8573251.0;1.3472821E7;
OperationGenerateGraph;1.885735046E9;0.0;1.885735046E9;1.885735046E9;
OperationShutdownGraph;631810.5714285715;543731.6026932661;210685.0;2160301.0;
OperationDoGC;3.517896182642857E9;6363571.742359773;3.508955189E9;3.525196189E9;
OperationGetManyVertices;1.17828453E8;0.0;1.17828453E8;1.17828453E8;
OperationGetManyVertexProperties;8.3977835E7;0.0;8.3977835E7;8.3977835E7;
OperationGetManyEdges;1.74537539E8;0.0;1.74537539E8;1.74537539E8;
OperationGetManyEdgeProperties;1.72244477E8;0.0;1.72244477E8;1.72244477E8;
OperationGetFirstNeighbor;358036.216;96722.23619910446;126515.0;730628.0;
OperationGetRandomNeighbor;240884.844;105570.87916045633;58100.0;657024.0;
OperationGetAllNeighbors;699122.077;998494.7985343675;61836.0;1.7467515E7;
OperationGetKFirstNeighbors;412877.186;158969.18481257747;61766.0;944888.0;
OperationGetKRandomNeighbors;315767.365;152284.734496744;58119.0;847572.0;
OperationGetKHopNeighbors;4770786.333;8817921.843161087;72058.0;1.86984663E8;
OperationGetShortestPath;3.070270114E7;4.297393657635874E7;871964.0;1.42623138E8;
OperationGlobalClusteringCoefficient;2.2434990026E10;0.0;2.2434990026E10;2.2434990026E10;
OperationNetworkAverageClusteringCoefficient;7.793669662E9;0.0;7.793669662E9;7.793669662E9;
