operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1010011115384616E7;1065370.7268346085;9490385.0;1.3104854E7;
OperationGenerateGraph;2.925089077E9;0.0;2.925089077E9;2.925089077E9;
OperationShutdownGraph;585118.2692307692;488565.0818495509;182150.0;1955944.0;
OperationDoGC;3.49651192E9;7085697.930183974;3.483950483E9;3.510976123E9;
OperationGetManyVertices;1.00923099E8;0.0;1.00923099E8;1.00923099E8;
OperationGetManyVertexProperties;1.62276504E8;0.0;1.62276504E8;1.62276504E8;
OperationGetManyEdges;1.72676037E8;0.0;1.72676037E8;1.72676037E8;
OperationGetManyEdgeProperties;2.15871204E8;0.0;2.15871204E8;2.15871204E8;
OperationGetFirstNeighbor;342243.334;99472.73307266901;93891.0;720711.0;
OperationGetRandomNeighbor;271414.011;119354.75400783526;56415.0;1153100.0;
OperationGetAllNeighbors;671910.2;453527.7902231479;60741.0;6540288.0;
OperationGetKFirstNeighbors;500191.5902;563810.2452366055;55372.0;2.8915278E7;
OperationGetKRandomNeighbors;458507.8644;268285.68591544125;56073.0;2268517.0;
OperationGetKHopNeighbors;6.98403093598E7;1.3807081860140657E8;56974.0;6.65392096E8;
OperationGetShortestPath;5.5049686978E7;5.5291425516508475E7;876202.0;1.42812523E8;
OperationGlobalClusteringCoefficient;3.1192443489E10;0.0;3.1192443489E10;3.1192443489E10;
OperationNetworkAverageClusteringCoefficient;1.2935449925E10;0.0;1.2935449925E10;1.2935449925E10;
