operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1761452285714285E7;860169.5135320238;9477814.0;1.3308648E7;
OperationGenerateGraph;3.127597808E9;0.0;3.127597808E9;3.127597808E9;
OperationShutdownGraph;565513.0714285715;409165.815957901;166444.0;1421147.0;
OperationDoGC;3.506348365E9;9676163.607767344;3.49091347E9;3.530452143E9;
OperationGetManyVertices;1.24991271E8;0.0;1.24991271E8;1.24991271E8;
OperationGetManyVertexProperties;1.65919941E8;0.0;1.65919941E8;1.65919941E8;
OperationGetManyEdges;1.8312171E8;0.0;1.8312171E8;1.8312171E8;
OperationGetManyEdgeProperties;2.19696041E8;0.0;2.19696041E8;2.19696041E8;
OperationGetFirstNeighbor;379871.009;94649.75356237816;133142.0;695602.0;
OperationGetRandomNeighbor;321116.163;106932.31341491891;64185.0;634415.0;
OperationGetAllNeighbors;727759.453;979384.1134994304;79394.0;1.8806398E7;
OperationGetKFirstNeighbors;358690.87;167209.4637872482;62120.0;954751.0;
OperationGetKRandomNeighbors;447341.487;161111.42178884096;73437.0;1640048.0;
OperationGetKHopNeighbors;3944369.643;4941473.038681106;62379.0;5.3024887E7;
OperationGetShortestPath;5.7717333948E7;5.612738174013147E7;887495.0;1.48381252E8;
OperationGlobalClusteringCoefficient;3.3647334936E10;0.0;3.3647334936E10;3.3647334936E10;
OperationNetworkAverageClusteringCoefficient;1.3448222485E10;0.0;1.3448222485E10;1.3448222485E10;
