operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.2290960714285715E7;1035434.4085162951;1.0075356E7;1.3570092E7;
OperationGenerateGraph;2.524789673E9;0.0;2.524789673E9;2.524789673E9;
OperationShutdownGraph;583439.0;518631.06966416887;225755.0;2230028.0;
OperationDoGC;3.496428091285714E9;4914463.7008290775;3.486072715E9;3.505555599E9;
OperationGetManyVertices;1.14812726E8;0.0;1.14812726E8;1.14812726E8;
OperationGetManyVertexProperties;1.47930868E8;0.0;1.47930868E8;1.47930868E8;
OperationGetManyEdges;9.3302792E7;0.0;9.3302792E7;9.3302792E7;
OperationGetManyEdgeProperties;2.01331435E8;0.0;2.01331435E8;2.01331435E8;
OperationGetFirstNeighbor;343653.23;113123.16607717048;62376.0;612298.0;
OperationGetRandomNeighbor;325367.768;108417.6126530841;61381.0;636899.0;
OperationGetAllNeighbors;753346.877;935856.9588510918;71354.0;1.8653471E7;
OperationGetKFirstNeighbors;489251.33;159305.21394875651;80386.0;988167.0;
OperationGetKRandomNeighbors;437498.249;150747.5455558033;76970.0;1762740.0;
OperationGetKHopNeighbors;4677735.674;4791799.67646092;69321.0;4.8541796E7;
OperationGetShortestPath;5.121663189E7;5.498737610533147E7;914822.0;1.4847963E8;
OperationGlobalClusteringCoefficient;3.0145256322E10;0.0;3.0145256322E10;3.0145256322E10;
OperationNetworkAverageClusteringCoefficient;1.2201141722E10;0.0;1.2201141722E10;1.2201141722E10;
