operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.060            0.927         8.668          12.011    
OperationGenerateGraph                               1875.720            0.000      1875.720        1875.720    
OperationShutdownGraph                                  0.910            1.352         0.232           5.485    
OperationDoGC                                        3511.586           10.788      3494.027        3530.116    
OperationGetManyVertices                              115.901            0.000       115.901         115.901    
OperationGetManyVertexProperties                      130.426            0.000       130.426         130.426    
OperationGetManyEdges                                 222.161            0.000       222.161         222.161    
OperationGetManyEdgeProperties                        183.958            0.000       183.958         183.958    
OperationGetFirstNeighbor                               0.329            0.101         0.083           0.751    
OperationGetRandomNeighbor                              0.288            0.104         0.065           0.877    
OperationGetAllNeighbors                                0.644            0.583         0.068           5.396    
OperationGetKFirstNeighbors                             0.407            0.155         0.069           0.926    
OperationGetKRandomNeighbors                            0.281            0.130         0.057           0.881    
OperationGetKHopNeighbors                               4.450            9.889         0.065         198.408    
OperationGetShortestPath                               28.681           42.539         0.868         145.116    
OperationGlobalClusteringCoefficient                19796.454            0.000     19796.454       19796.454    
OperationNetworkAverageClusteringCoefficient         6868.064            0.000      6868.064        6868.064    
