operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1643979785714285E7;896292.990569584;9355977.0;1.3447401E7;
OperationGenerateGraph;1.570981064E9;0.0;1.570981064E9;1.570981064E9;
OperationShutdownGraph;554182.7142857143;478133.4998525036;201255.0;2042630.0;
OperationDoGC;3.499922042428571E9;5148428.123701484;3.488827393E9;3.505897751E9;
OperationGetManyVertices;1.60174901E8;0.0;1.60174901E8;1.60174901E8;
OperationGetManyVertexProperties;1.19863966E8;0.0;1.19863966E8;1.19863966E8;
OperationGetManyEdges;2.21194407E8;0.0;2.21194407E8;2.21194407E8;
OperationGetManyEdgeProperties;9.5711225E7;0.0;9.5711225E7;9.5711225E7;
OperationGetFirstNeighbor;314852.89;106468.50978092961;73194.0;927402.0;
OperationGetRandomNeighbor;253407.816;102644.84104312386;62294.0;624739.0;
OperationGetAllNeighbors;695210.211;1004704.7888351027;71190.0;1.8025857E7;
OperationGetKFirstNeighbors;367613.111;148885.4855127412;74855.0;748169.0;
OperationGetKRandomNeighbors;293641.452;133816.58854416249;59092.0;911356.0;
OperationGetKHopNeighbors;4284821.986;9427516.628491934;81662.0;1.74191257E8;
OperationGetShortestPath;1.9620763598E7;3.3589176820598476E7;888360.0;1.36953249E8;
OperationGlobalClusteringCoefficient;1.9187983913E10;0.0;1.9187983913E10;1.9187983913E10;
OperationNetworkAverageClusteringCoefficient;5.394536011E9;0.0;5.394536011E9;5.394536011E9;
