operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1034814884615384E7;1074370.0050577521;7795263.0;1.2251119E7;
OperationGenerateGraph;2.039117431E9;0.0;2.039117431E9;2.039117431E9;
OperationShutdownGraph;569689.7307692308;470782.40100639977;187810.0;1815554.0;
OperationDoGC;3.5061967995384617E9;1.630581671318447E7;3.48628146E9;3.56653891E9;
OperationGetManyVertices;1.00343757E8;0.0;1.00343757E8;1.00343757E8;
OperationGetManyVertexProperties;1.41393908E8;0.0;1.41393908E8;1.41393908E8;
OperationGetManyEdges;2.20120343E8;0.0;2.20120343E8;2.20120343E8;
OperationGetManyEdgeProperties;9.5263575E7;0.0;9.5263575E7;9.5263575E7;
OperationGetFirstNeighbor;166900.318;45903.04728855021;48641.0;467721.0;
OperationGetRandomNeighbor;304006.365;109499.60973972363;62330.0;891128.0;
OperationGetAllNeighbors;648730.074;511763.02429047215;71897.0;5377522.0;
OperationGetKFirstNeighbors;453375.8982;562984.0277718939;42790.0;2.5600601E7;
OperationGetKRandomNeighbors;434960.6296;263204.68417399656;50993.0;2682901.0;
OperationGetKHopNeighbors;5.85428371394E7;1.250825877286995E8;53740.0;6.68203384E8;
OperationGetShortestPath;4.3285855108E7;5.10813109901733E7;873578.0;1.33504017E8;
OperationGlobalClusteringCoefficient;2.6660863038E10;0.0;2.6660863038E10;2.6660863038E10;
OperationNetworkAverageClusteringCoefficient;9.927834049E9;0.0;9.927834049E9;9.927834049E9;
