operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.469            1.562         7.145          13.991    
OperationGenerateGraph                               2126.413            0.000      2126.413        2126.413    
OperationShutdownGraph                                  0.768            1.012         0.224           4.236    
OperationDoGC                                        3507.812            4.105      3500.424        3515.141    
OperationGetManyVertices                              105.604            0.000       105.604         105.604    
OperationGetManyVertexProperties                      140.995            0.000       140.995         140.995    
OperationGetManyEdges                                 166.099            0.000       166.099         166.099    
OperationGetManyEdgeProperties                        128.138            0.000       128.138         128.138    
OperationGetFirstNeighbor                               0.373            0.096         0.136           0.733    
OperationGetRandomNeighbor                              0.310            0.111         0.064           1.117    
OperationGetAllNeighbors                                0.657            0.456         0.057           6.172    
OperationGetKFirstNeighbors                             0.459            0.168         0.080           1.174    
OperationGetKRandomNeighbors                            0.416            0.168         0.061           1.304    
OperationGetKHopNeighbors                               4.849            8.088         0.086         197.418    
OperationGetShortestPath                               56.019           56.209         0.875         152.507    
OperationGlobalClusteringCoefficient                31701.261            0.000     31701.261       31701.261    
OperationNetworkAverageClusteringCoefficient        11315.880            0.000     11315.880       11315.880    
