operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.052            0.159         0.692           1.367    
OperationGetManyVertices                                3.415            1.925         1.210           6.907    
OperationShutdownGraph                                  3.125            4.970         0.663          15.159    
OperationDoGC                                        3448.824            3.907      3441.651        3454.437    
OperationGetManyEdges                                  14.308            5.943         6.200          26.822    
OperationGetFirstNeighbor                               0.040            0.039         0.008           2.133    
OperationGetRandomNeighbor                              0.071            0.129         0.007          12.246    
OperationGetAllNeighbors                                0.100            0.138         0.008           4.199    
OperationGetKFirstNeighbors                             0.051            0.082         0.008           8.438    
OperationGetKRandomNeighbors                            0.097            0.094         0.008           2.772    
OperationGetKHopNeighbors                               0.272            0.708         0.008          15.405    
OperationGetShortestPath                                9.933           27.130         0.002         259.223    
OperationGlobalClusteringCoefficient                 4823.390           20.129      4784.727        4856.664    
OperationNetworkAverageClusteringCoefficient         1103.364           19.042      1050.065        1121.346    
