operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.313            0.881         0.688           3.979    
OperationGetManyVertices                                4.507            0.000         4.507           4.507    
OperationShutdownGraph                                  1.187            0.301         0.868           1.757    
OperationDoGC                                        3432.067            8.723      3418.147        3444.537    
OperationGetManyEdges                                   7.583            0.000         7.583           7.583    
OperationGetFirstNeighbor                               0.019            0.005         0.011           0.084    
OperationGetRandomNeighbor                              0.028            0.015         0.009           0.166    
OperationGetAllNeighbors                                0.038            0.043         0.009           0.727    
OperationGetKFirstNeighbors                             0.022            0.007         0.012           0.059    
OperationGetKRandomNeighbors                            0.033            0.025         0.011           0.281    
OperationGetKHopNeighbors                               0.116            0.349         0.011           5.169    
OperationGetShortestPath                                1.211            3.220         0.002          24.534    
OperationGlobalClusteringCoefficient                  419.339            0.000       419.339         419.339    
OperationNetworkAverageClusteringCoefficient          104.390            0.000       104.390         104.390    
