operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1123150.6363636365;113178.65148216918;841234.0;1286897.0;
OperationGetManyVertices;4048194.125;4593301.760935547;1297836.0;1.6116613E7;
OperationShutdownGraph;2294877.5454545454;3378434.2413577912;687085.0;1.1602098E7;
OperationDoGC;3.453836271818182E9;6224286.853538467;3.44636915E9;3.463463265E9;
OperationGetManyEdges;3.157826425E7;1.179415444599106E7;1.2525072E7;4.6895015E7;
OperationGetFirstNeighbor;40217.5305;20413.256131728926;10260.0;700515.0;
OperationGetRandomNeighbor;64162.24575;62477.55449919489;8863.0;1764730.0;
OperationGetAllNeighbors;94303.69725;123912.03326544132;8191.0;2042178.0;
OperationGetKFirstNeighbors;39876.800875;55033.649399430855;7996.0;3141943.0;
OperationGetKRandomNeighbors;90583.604375;84545.35248541553;7979.0;2873617.0;
OperationGetKHopNeighbors;241011.964625;684409.6233816362;7575.0;1.5680079E7;
OperationGetShortestPath;5265464.75;1.376009432536086E7;1869.0;1.17949549E8;
OperationGlobalClusteringCoefficient;2.371709105875E9;1.6447430975447757E7;2.329622E9;2.383132682E9;
OperationNetworkAverageClusteringCoefficient;5.2674715475E8;5903788.1554470975;5.17377545E8;5.35502792E8;
