operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1100230.5454545454;138520.11914674978;740928.0;1337096.0;
OperationGetManyVertices;4497131.25;2951722.2359611196;2015857.0;1.3454093E7;
OperationShutdownGraph;1.761990490909091E7;2.950765413234102E7;749936.0;1.0219944E8;
OperationDoGC;3.452002339181818E9;5671388.6421135925;3.44096798E9;3.458761374E9;
OperationGetManyEdges;1.5010273375E7;9232468.726004642;6712889.0;6.1773798E7;
OperationGetFirstNeighbor;40889.2451875;41044.46492438134;8249.0;5155679.0;
OperationGetRandomNeighbor;81440.06378125;757038.3123151865;7876.0;4.7162085E7;
OperationGetAllNeighbors;107514.22040625;1373168.1540346767;7560.0;2.24010494E8;
OperationGetKFirstNeighbors;55375.16296875;40379.23849048352;6747.0;1153919.0;
OperationGetKRandomNeighbors;91126.57775;90813.48240244004;7685.0;7246626.0;
OperationGetKHopNeighbors;295120.07209375;884056.9620345467;5373.0;3.7597518E7;
OperationGetShortestPath;1.99604679426875E7;5.582299172298787E7;1838.0;5.13560136E8;
OperationGlobalClusteringCoefficient;9.93431472103125E9;6.0499085025854014E7;9.761632521E9;1.0024169761E10;
OperationNetworkAverageClusteringCoefficient;2.4135760466875E9;4.9826541189895704E7;2.166094246E9;2.466858402E9;
