operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.140            0.092         1.082           1.358    
OperationGetManyVertices                                2.041            0.585         1.456           2.626    
OperationShutdownGraph                                  1.074            0.530         0.728           2.422    
OperationDoGC                                        3445.335            8.282      3437.653        3466.639    
OperationGetManyEdges                                   9.358            0.129         9.228           9.487    
OperationGetFirstNeighbor                               0.033            0.016         0.011           0.167    
OperationGetRandomNeighbor                              0.048            0.046         0.009           0.796    
OperationGetAllNeighbors                                0.061            0.067         0.010           0.790    
OperationGetKFirstNeighbors                             0.032            0.012         0.013           0.131    
OperationGetKRandomNeighbors                            0.053            0.044         0.009           0.486    
OperationGetKHopNeighbors                               0.211            0.587         0.008          10.534    
OperationGetShortestPath                                2.372            6.843         0.008         119.299    
OperationGlobalClusteringCoefficient                  881.835            3.137       878.698         884.972    
OperationNetworkAverageClusteringCoefficient          197.688            0.373       197.315         198.061    
