operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1223052.6363636365;281744.1990837119;1085939.0;2067840.0;
OperationGetManyVertices;3386375.75;634827.2610704328;2682776.0;4416688.0;
OperationShutdownGraph;1463484.6363636365;1497439.3943505555;728985.0;5577165.0;
OperationDoGC;3.4321582882727275E9;5974569.0178743;3.424479977E9;3.443963395E9;
OperationGetManyEdges;1.23864275E7;2774984.709831074;9374258.0;1.5482849E7;
OperationGetFirstNeighbor;41535.83875;14791.867838672333;12903.0;292918.0;
OperationGetRandomNeighbor;36545.28575;40604.21409847256;8055.0;1199128.0;
OperationGetAllNeighbors;95844.21;129446.31499456787;8559.0;2204947.0;
OperationGetKFirstNeighbors;51315.28675;168855.762712384;8904.0;1.0566121E7;
OperationGetKRandomNeighbors;61577.3265;58375.52180630928;8732.0;1049564.0;
OperationGetKHopNeighbors;223189.22625;648843.5511895438;7182.0;1.2234517E7;
OperationGetShortestPath;2778654.548;7245621.909324064;2035.0;5.7818149E7;
OperationGlobalClusteringCoefficient;1.22410431775E9;4273872.194598499;1.218107897E9;1.229216226E9;
OperationNetworkAverageClusteringCoefficient;2.77789175E8;1023199.5108987787;2.76878613E8;2.79519979E8;
