operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.223            0.282         1.086           2.068    
OperationGetManyVertices                                3.386            0.635         2.683           4.417    
OperationShutdownGraph                                  1.463            1.497         0.729           5.577    
OperationDoGC                                        3432.158            5.975      3424.480        3443.963    
OperationGetManyEdges                                  12.386            2.775         9.374          15.483    
OperationGetFirstNeighbor                               0.042            0.015         0.013           0.293    
OperationGetRandomNeighbor                              0.037            0.041         0.008           1.199    
OperationGetAllNeighbors                                0.096            0.129         0.009           2.205    
OperationGetKFirstNeighbors                             0.051            0.169         0.009          10.566    
OperationGetKRandomNeighbors                            0.062            0.058         0.009           1.050    
OperationGetKHopNeighbors                               0.223            0.649         0.007          12.235    
OperationGetShortestPath                                2.779            7.246         0.002          57.818    
OperationGlobalClusteringCoefficient                 1224.104            4.274      1218.108        1229.216    
OperationNetworkAverageClusteringCoefficient          277.789            1.023       276.879         279.520    
