operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1313429.6363636365;880650.8620153695;688020.0;3978506.0;
OperationGetManyVertices;4507200.0;0.0;4507200.0;4507200.0;
OperationShutdownGraph;1186568.4545454546;301280.8123433152;868498.0;1757248.0;
OperationDoGC;3.432066540090909E9;8723090.987978395;3.418147013E9;3.444536907E9;
OperationGetManyEdges;7583236.0;0.0;7583236.0;7583236.0;
OperationGetFirstNeighbor;18905.155;4996.884002953739;11367.0;83913.0;
OperationGetRandomNeighbor;27858.764;14854.870621392305;9015.0;166381.0;
OperationGetAllNeighbors;38351.219;42810.85163052748;9039.0;726631.0;
OperationGetKFirstNeighbors;21891.719;6677.369938983379;11572.0;59028.0;
OperationGetKRandomNeighbors;32953.587;24768.297231590856;10662.0;280561.0;
OperationGetKHopNeighbors;115838.573;349294.5614770558;10738.0;5169277.0;
OperationGetShortestPath;1211402.786;3219971.4797041207;2063.0;2.4533629E7;
OperationGlobalClusteringCoefficient;4.19339489E8;0.0;4.19339489E8;4.19339489E8;
OperationNetworkAverageClusteringCoefficient;1.04390124E8;0.0;1.04390124E8;1.04390124E8;
