operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.123            0.113         0.841           1.287    
OperationGetManyVertices                                4.048            4.593         1.298          16.117    
OperationShutdownGraph                                  2.295            3.378         0.687          11.602    
OperationDoGC                                        3453.836            6.224      3446.369        3463.463    
OperationGetManyEdges                                  31.578           11.794        12.525          46.895    
OperationGetFirstNeighbor                               0.040            0.020         0.010           0.701    
OperationGetRandomNeighbor                              0.064            0.062         0.009           1.765    
OperationGetAllNeighbors                                0.094            0.124         0.008           2.042    
OperationGetKFirstNeighbors                             0.040            0.055         0.008           3.142    
OperationGetKRandomNeighbors                            0.091            0.085         0.008           2.874    
OperationGetKHopNeighbors                               0.241            0.684         0.008          15.680    
OperationGetShortestPath                                5.265           13.760         0.002         117.950    
OperationGlobalClusteringCoefficient                 2371.709           16.447      2329.622        2383.133    
OperationNetworkAverageClusteringCoefficient          526.747            5.904       517.378         535.503    
