operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1052452.6363636365;159370.90614622156;692417.0;1366930.0;
OperationGetManyVertices;3414510.25;1925116.454395503;1210127.0;6906672.0;
OperationShutdownGraph;3124632.0;4970193.454038969;663318.0;1.5159369E7;
OperationDoGC;3.4488240746363635E9;3906823.0465264986;3.441651358E9;3.45443741E9;
OperationGetManyEdges;1.4307679625E7;5942510.24098155;6199823.0;2.68219E7;
OperationGetFirstNeighbor;39582.6091875;39426.86916804111;8431.0;2132770.0;
OperationGetRandomNeighbor;70747.030125;128502.35895569972;7455.0;1.2246099E7;
OperationGetAllNeighbors;99715.12075;138424.92213410905;7548.0;4198952.0;
OperationGetKFirstNeighbors;51465.0351875;81894.80730348598;8041.0;8437928.0;
OperationGetKRandomNeighbors;97180.21525;93926.61231460671;8166.0;2772282.0;
OperationGetKHopNeighbors;272476.8950625;707923.3392571796;7674.0;1.5405031E7;
OperationGetShortestPath;9932531.803;2.712981549157064E7;1864.0;2.59223377E8;
OperationGlobalClusteringCoefficient;4.8233900204375E9;2.012931638046117E7;4.784727439E9;4.856664161E9;
OperationNetworkAverageClusteringCoefficient;1.1033643255E9;1.9041801574534077E7;1.05006502E9;1.121346426E9;
