operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.211            0.441         0.718           2.564    
OperationGenerateGraph                                317.326            0.000       317.326         317.326    
OperationShutdownGraph                                  5.498           24.933         0.081         130.124    
OperationDoGC                                        3460.098            6.242      3451.094        3477.493    
OperationGetManyVertices                                1.581            0.000         1.581           1.581    
OperationGetManyVertexProperties                       19.533            0.000        19.533          19.533    
OperationGetManyEdges                                   6.073            0.000         6.073           6.073    
OperationGetManyEdgeProperties                         22.556            0.000        22.556          22.556    
OperationGetFirstNeighbor                               0.020            0.007         0.010           0.114    
OperationGetRandomNeighbor                              0.026            0.015         0.009           0.228    
OperationGetAllNeighbors                                0.036            0.031         0.008           0.562    
OperationGetKFirstNeighbors                             0.027            0.016         0.008           0.105    
OperationGetKRandomNeighbors                            0.039            0.033         0.008           0.491    
OperationGetKHopNeighbors                               0.876            2.577         0.008          17.586    
OperationGetShortestPath                                2.858            5.382         0.010          23.772    
OperationGlobalClusteringCoefficient                  519.667            0.000       519.667         519.667    
OperationNetworkAverageClusteringCoefficient          152.190            0.000       152.190         152.190    
