operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1079252.0714285714;195177.15845517826;678795.0;1335576.0;
OperationGenerateGraph;2.9732403E8;0.0;2.9732403E8;2.9732403E8;
OperationShutdownGraph;1.0568896714285715E7;3.6180350589640096E7;96024.0;1.41006572E8;
OperationDoGC;3.456760348214286E9;7553652.330628421;3.447082618E9;3.47641309E9;
OperationGetManyVertices;1570370.0;0.0;1570370.0;1570370.0;
OperationGetManyVertexProperties;1.6396468E7;0.0;1.6396468E7;1.6396468E7;
OperationGetManyEdges;6521118.0;0.0;6521118.0;6521118.0;
OperationGetManyEdgeProperties;1.9207784E7;0.0;1.9207784E7;1.9207784E7;
OperationGetFirstNeighbor;21348.67;5758.9235715626555;11182.0;90899.0;
OperationGetRandomNeighbor;32620.829;17273.10099535572;9154.0;297872.0;
OperationGetAllNeighbors;34318.935;29715.05349695293;9149.0;490860.0;
OperationGetKFirstNeighbors;27804.779;8416.581414099137;12108.0;84206.0;
OperationGetKRandomNeighbors;48973.395;30633.902307720713;12441.0;319306.0;
OperationGetKHopNeighbors;145122.234;181184.5820795281;11044.0;2781318.0;
OperationGetShortestPath;6697032.184;8590366.1575821;3550.0;2.8002188E7;
OperationGlobalClusteringCoefficient;6.2668074E8;0.0;6.2668074E8;6.2668074E8;
OperationNetworkAverageClusteringCoefficient;2.19983932E8;0.0;2.19983932E8;2.19983932E8;
