operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.050            0.209         0.699           1.512    
OperationGenerateGraph                                287.122            0.000       287.122         287.122    
OperationShutdownGraph                                 10.402           35.641         0.095         138.895    
OperationDoGC                                        3453.158            6.035      3443.868        3467.135    
OperationGetManyVertices                                1.642            0.000         1.642           1.642    
OperationGetManyVertexProperties                       15.136            0.000        15.136          15.136    
OperationGetManyEdges                                   6.801            0.000         6.801           6.801    
OperationGetManyEdgeProperties                         18.281            0.000        18.281          18.281    
OperationGetFirstNeighbor                               0.025            0.008         0.011           0.082    
OperationGetRandomNeighbor                              0.045            0.021         0.009           0.189    
OperationGetAllNeighbors                                0.048            0.029         0.009           0.320    
OperationGetKFirstNeighbors                             0.032            0.009         0.012           0.095    
OperationGetKRandomNeighbors                            0.041            0.020         0.011           0.208    
OperationGetKHopNeighbors                               0.168            0.210         0.011           2.754    
OperationGetShortestPath                                7.801            9.122         0.003          27.122    
OperationGlobalClusteringCoefficient                  686.700            0.000       686.700         686.700    
OperationNetworkAverageClusteringCoefficient          270.561            0.000       270.561         270.561    
