operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.062            0.138         0.720           1.407    
OperationGenerateGraph                                260.690            0.000       260.690         260.690    
OperationShutdownGraph                                 10.961           37.645         0.090         146.680    
OperationDoGC                                        3454.665            8.587      3443.303        3475.092    
OperationGetManyVertices                                1.546            0.000         1.546           1.546    
OperationGetManyVertexProperties                       22.927            0.000        22.927          22.927    
OperationGetManyEdges                                   5.923            0.000         5.923           5.923    
OperationGetManyEdgeProperties                         23.420            0.000        23.420          23.420    
OperationGetFirstNeighbor                               0.025            0.011         0.011           0.069    
OperationGetRandomNeighbor                              0.037            0.018         0.009           0.237    
OperationGetAllNeighbors                                0.044            0.034         0.010           0.613    
OperationGetKFirstNeighbors                             0.035            0.014         0.012           0.290    
OperationGetKRandomNeighbors                            0.044            0.033         0.011           0.439    
OperationGetKHopNeighbors                               0.142            0.332         0.011           5.382    
OperationGetShortestPath                                2.740            5.248         0.011          24.066    
OperationGlobalClusteringCoefficient                  481.973            0.000       481.973         481.973    
OperationNetworkAverageClusteringCoefficient          133.489            0.000       133.489         133.489    
