operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1099636.2142857143;170230.09027119676;670568.0;1473158.0;
OperationGenerateGraph;2.6489676E8;0.0;2.6489676E8;2.6489676E8;
OperationShutdownGraph;9708327.857142856;3.2980432011070047E7;90510.0;1.28605599E8;
OperationDoGC;3.455186314928571E9;6253876.767364835;3.445295713E9;3.46316462E9;
OperationGetManyVertices;1715452.0;0.0;1715452.0;1715452.0;
OperationGetManyVertexProperties;1.9156564E7;0.0;1.9156564E7;1.9156564E7;
OperationGetManyEdges;6223239.0;0.0;6223239.0;6223239.0;
OperationGetManyEdgeProperties;2.3313472E7;0.0;2.3313472E7;2.3313472E7;
OperationGetFirstNeighbor;21521.63;6869.566414054095;11442.0;62464.0;
OperationGetRandomNeighbor;34063.8;18987.512196019805;8962.0;253654.0;
OperationGetAllNeighbors;39783.256;31435.05009988793;9199.0;602956.0;
OperationGetKFirstNeighbors;34706.505;14441.364026710746;12092.0;77933.0;
OperationGetKRandomNeighbors;42635.948;24455.85479387903;10487.0;281526.0;
OperationGetKHopNeighbors;184415.067;371988.75533623155;10897.0;7302926.0;
OperationGetShortestPath;2733677.796;5154627.777778005;11411.0;2.4747071E7;
OperationGlobalClusteringCoefficient;5.13040753E8;0.0;5.13040753E8;5.13040753E8;
OperationNetworkAverageClusteringCoefficient;1.53948648E8;0.0;1.53948648E8;1.53948648E8;
