operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.092            0.212         0.723           1.482    
OperationGenerateGraph                                287.553            0.000       287.553         287.553    
OperationShutdownGraph                                 10.103           34.479         0.087         134.404    
OperationDoGC                                        3456.013            5.047      3450.234        3467.805    
OperationGetManyVertices                                1.679            0.000         1.679           1.679    
OperationGetManyVertexProperties                       20.098            0.000        20.098          20.098    
OperationGetManyEdges                                   6.221            0.000         6.221           6.221    
OperationGetManyEdgeProperties                         20.053            0.000        20.053          20.053    
OperationGetFirstNeighbor                               0.022            0.008         0.011           0.117    
OperationGetRandomNeighbor                              0.034            0.022         0.009           0.573    
OperationGetAllNeighbors                                0.036            0.027         0.009           0.544    
OperationGetKFirstNeighbors                             0.030            0.013         0.012           0.095    
OperationGetKRandomNeighbors                            0.046            0.035         0.011           0.520    
OperationGetKHopNeighbors                               0.159            0.282         0.011           4.542    
OperationGetShortestPath                                5.012            7.555         0.012          29.765    
OperationGlobalClusteringCoefficient                  528.355            0.000       528.355         528.355    
OperationNetworkAverageClusteringCoefficient          171.931            0.000       171.931         171.931    
