operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.100            0.170         0.671           1.473    
OperationGenerateGraph                                264.897            0.000       264.897         264.897    
OperationShutdownGraph                                  9.708           32.980         0.091         128.606    
OperationDoGC                                        3455.186            6.254      3445.296        3463.165    
OperationGetManyVertices                                1.715            0.000         1.715           1.715    
OperationGetManyVertexProperties                       19.157            0.000        19.157          19.157    
OperationGetManyEdges                                   6.223            0.000         6.223           6.223    
OperationGetManyEdgeProperties                         23.313            0.000        23.313          23.313    
OperationGetFirstNeighbor                               0.022            0.007         0.011           0.062    
OperationGetRandomNeighbor                              0.034            0.019         0.009           0.254    
OperationGetAllNeighbors                                0.040            0.031         0.009           0.603    
OperationGetKFirstNeighbors                             0.035            0.014         0.012           0.078    
OperationGetKRandomNeighbors                            0.043            0.024         0.010           0.282    
OperationGetKHopNeighbors                               0.184            0.372         0.011           7.303    
OperationGetShortestPath                                2.734            5.155         0.011          24.747    
OperationGlobalClusteringCoefficient                  513.041            0.000       513.041         513.041    
OperationNetworkAverageClusteringCoefficient          153.949            0.000       153.949         153.949    
