operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.074            0.112         0.696           1.218    
OperationGenerateGraph                                248.576            0.000       248.576         248.576    
OperationShutdownGraph                                  5.751           26.196         0.084         136.704    
OperationDoGC                                        3455.624            7.260      3443.816        3472.096    
OperationGetManyVertices                                1.998            0.000         1.998           1.998    
OperationGetManyVertexProperties                       20.230            0.000        20.230          20.230    
OperationGetManyEdges                                   6.172            0.000         6.172           6.172    
OperationGetManyEdgeProperties                         25.904            0.000        25.904          25.904    
OperationGetFirstNeighbor                               0.023            0.008         0.011           0.078    
OperationGetRandomNeighbor                              0.035            0.020         0.008           0.215    
OperationGetAllNeighbors                                0.036            0.033         0.008           0.499    
OperationGetKFirstNeighbors                             0.027            0.014         0.008           0.102    
OperationGetKRandomNeighbors                            0.034            0.030         0.008           0.568    
OperationGetKHopNeighbors                               0.616            2.081         0.009          18.859    
OperationGetShortestPath                                2.129            4.515         0.002          25.504    
OperationGlobalClusteringCoefficient                  435.907            0.000       435.907         435.907    
OperationNetworkAverageClusteringCoefficient          116.510            0.000       116.510         116.510    
