operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;4906361.807692308;1.8813669960193213E7;917788.0;9.8973756E7;
OperationGenerateGraph;3.61856849E8;0.0;3.61856849E8;3.61856849E8;
OperationShutdownGraph;6766959.269230769;3.101662385731179E7;84477.0;1.61818597E8;
OperationDoGC;3.4535875174615383E9;4447176.972192508;3.445212582E9;3.463795097E9;
OperationGetManyVertices;1537594.0;0.0;1537594.0;1537594.0;
OperationGetManyVertexProperties;1.5952881E7;0.0;1.5952881E7;1.5952881E7;
OperationGetManyEdges;6409971.0;0.0;6409971.0;6409971.0;
OperationGetManyEdgeProperties;2.129481E7;0.0;2.129481E7;2.129481E7;
OperationGetFirstNeighbor;31012.125;8582.006115319133;12146.0;103236.0;
OperationGetRandomNeighbor;36306.022;15151.327823973576;8435.0;128404.0;
OperationGetAllNeighbors;57746.96;44637.51577489948;8539.0;740800.0;
OperationGetKFirstNeighbors;27913.0344;10975.095800129324;8073.0;131249.0;
OperationGetKRandomNeighbors;55614.1086;43619.298057309425;8647.0;606262.0;
OperationGetKHopNeighbors;1549983.4208;3528458.0059256763;8892.0;1.7980738E7;
OperationGetShortestPath;8316281.278;9382971.285957871;9899.0;2.676868E7;
OperationGlobalClusteringCoefficient;6.78239393E8;0.0;6.78239393E8;6.78239393E8;
OperationNetworkAverageClusteringCoefficient;2.4581988E8;0.0;2.4581988E8;2.4581988E8;
