operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.292            0.824         0.740           5.241    
OperationGenerateGraph                                323.029            0.000       323.029         323.029    
OperationShutdownGraph                                  5.552           25.041         0.085         130.718    
OperationDoGC                                        3467.247            6.693      3456.680        3483.504    
OperationGetManyVertices                                1.522            0.000         1.522           1.522    
OperationGetManyVertexProperties                       17.588            0.000        17.588          17.588    
OperationGetManyEdges                                   6.060            0.000         6.060           6.060    
OperationGetManyEdgeProperties                         22.272            0.000        22.272          22.272    
OperationGetFirstNeighbor                               0.028            0.009         0.011           0.099    
OperationGetRandomNeighbor                              0.029            0.018         0.008           0.276    
OperationGetAllNeighbors                                0.038            0.026         0.012           0.226    
OperationGetKFirstNeighbors                             0.029            0.029         0.008           1.714    
OperationGetKRandomNeighbors                            0.033            0.027         0.008           0.367    
OperationGetKHopNeighbors                               1.044            2.828         0.009          16.898    
OperationGetShortestPath                                4.115            6.618         0.002          24.866    
OperationGlobalClusteringCoefficient                  516.367            0.000       516.367         516.367    
OperationNetworkAverageClusteringCoefficient          159.457            0.000       159.457         159.457    
