operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.079            0.195         0.679           1.336    
OperationGenerateGraph                                297.324            0.000       297.324         297.324    
OperationShutdownGraph                                 10.569           36.180         0.096         141.007    
OperationDoGC                                        3456.760            7.554      3447.083        3476.413    
OperationGetManyVertices                                1.570            0.000         1.570           1.570    
OperationGetManyVertexProperties                       16.396            0.000        16.396          16.396    
OperationGetManyEdges                                   6.521            0.000         6.521           6.521    
OperationGetManyEdgeProperties                         19.208            0.000        19.208          19.208    
OperationGetFirstNeighbor                               0.021            0.006         0.011           0.091    
OperationGetRandomNeighbor                              0.033            0.017         0.009           0.298    
OperationGetAllNeighbors                                0.034            0.030         0.009           0.491    
OperationGetKFirstNeighbors                             0.028            0.008         0.012           0.084    
OperationGetKRandomNeighbors                            0.049            0.031         0.012           0.319    
OperationGetKHopNeighbors                               0.145            0.181         0.011           2.781    
OperationGetShortestPath                                6.697            8.590         0.004          28.002    
OperationGlobalClusteringCoefficient                  626.681            0.000       626.681         626.681    
OperationNetworkAverageClusteringCoefficient          219.984            0.000       219.984         219.984    
