operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.211            0.302         0.772           2.613    
OperationGenerateGraph                                300.551            0.000       300.551         300.551    
OperationShutdownGraph                                  6.386           29.207         0.087         152.387    
OperationDoGC                                        3453.920            6.910      3444.339        3468.986    
OperationGetManyVertices                                1.555            0.000         1.555           1.555    
OperationGetManyVertexProperties                       20.295            0.000        20.295          20.295    
OperationGetManyEdges                                   6.275            0.000         6.275           6.275    
OperationGetManyEdgeProperties                         21.386            0.000        21.386          21.386    
OperationGetFirstNeighbor                               0.019            0.005         0.010           0.118    
OperationGetRandomNeighbor                              0.034            0.021         0.008           0.294    
OperationGetAllNeighbors                                0.049            0.046         0.009           0.906    
OperationGetKFirstNeighbors                             0.029            0.016         0.008           0.105    
OperationGetKRandomNeighbors                            0.048            0.046         0.008           0.810    
OperationGetKHopNeighbors                               1.180            3.013         0.008          20.851    
OperationGetShortestPath                                4.474            7.020         0.010          25.258    
OperationGlobalClusteringCoefficient                  567.897            0.000       567.897         567.897    
OperationNetworkAverageClusteringCoefficient          184.865            0.000       184.865         184.865    
