operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.071            0.130         0.719           1.291    
OperationGenerateGraph                                341.159            0.000       341.159         341.159    
OperationShutdownGraph                                 10.015           34.281         0.086         133.607    
OperationDoGC                                        3454.096            5.446      3448.083        3466.354    
OperationGetManyVertices                                1.673            0.000         1.673           1.673    
OperationGetManyVertexProperties                       19.618            0.000        19.618          19.618    
OperationGetManyEdges                                   6.509            0.000         6.509           6.509    
OperationGetManyEdgeProperties                         18.368            0.000        18.368          18.368    
OperationGetFirstNeighbor                               0.027            0.008         0.011           0.073    
OperationGetRandomNeighbor                              0.044            0.027         0.009           0.458    
OperationGetAllNeighbors                                0.045            0.035         0.009           0.368    
OperationGetKFirstNeighbors                             0.039            0.014         0.012           0.103    
OperationGetKRandomNeighbors                            0.040            0.026         0.011           0.237    
OperationGetKHopNeighbors                               0.151            0.178         0.011           2.785    
OperationGetShortestPath                                7.630            8.772         0.012          25.911    
OperationGlobalClusteringCoefficient                  690.887            0.000       690.887         690.887    
OperationNetworkAverageClusteringCoefficient          241.105            0.000       241.105         241.105    
