operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1049552.357142857;208983.74044463265;698733.0;1511886.0;
OperationGenerateGraph;2.87122359E8;0.0;2.87122359E8;2.87122359E8;
OperationShutdownGraph;1.0401988357142856E7;3.5640642332134046E7;94687.0;1.38895101E8;
OperationDoGC;3.453157800071429E9;6035343.135055744;3.443868322E9;3.467134799E9;
OperationGetManyVertices;1642402.0;0.0;1642402.0;1642402.0;
OperationGetManyVertexProperties;1.5136451E7;0.0;1.5136451E7;1.5136451E7;
OperationGetManyEdges;6801020.0;0.0;6801020.0;6801020.0;
OperationGetManyEdgeProperties;1.8281333E7;0.0;1.8281333E7;1.8281333E7;
OperationGetFirstNeighbor;25011.33;7725.358785525762;11019.0;82313.0;
OperationGetRandomNeighbor;44804.727;21473.192894408385;8992.0;189367.0;
OperationGetAllNeighbors;48027.176;29339.759515050973;8771.0;319908.0;
OperationGetKFirstNeighbors;32204.256;9049.024202667602;12037.0;94925.0;
OperationGetKRandomNeighbors;40869.903;20218.441726888632;10612.0;208395.0;
OperationGetKHopNeighbors;168289.605;209501.89731991678;11299.0;2753766.0;
OperationGetShortestPath;7800533.544;9122458.871818384;3433.0;2.7121513E7;
OperationGlobalClusteringCoefficient;6.86700016E8;0.0;6.86700016E8;6.86700016E8;
OperationNetworkAverageClusteringCoefficient;2.70560763E8;0.0;2.70560763E8;2.70560763E8;
