operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1380965.2307692308;516967.39776339324;851724.0;2692328.0;
OperationGenerateGraph;3.81756659E8;0.0;3.81756659E8;3.81756659E8;
OperationShutdownGraph;7155424.346153846;2.820155149921974E7;86755.0;1.45985028E8;
OperationDoGC;3.457483183923077E9;6557312.762933275;3.447365227E9;3.477475465E9;
OperationGetManyVertices;1624977.0;0.0;1624977.0;1624977.0;
OperationGetManyVertexProperties;1.7333799E7;0.0;1.7333799E7;1.7333799E7;
OperationGetManyEdges;6246844.0;0.0;6246844.0;6246844.0;
OperationGetManyEdgeProperties;1.9026735E7;0.0;1.9026735E7;1.9026735E7;
OperationGetFirstNeighbor;18291.061;6315.225047080976;10338.0;123791.0;
OperationGetRandomNeighbor;34554.584;15904.225109100538;8555.0;257145.0;
OperationGetAllNeighbors;45997.321;38680.00438704678;8471.0;718105.0;
OperationGetKFirstNeighbors;29993.4862;15242.720322823296;7673.0;94422.0;
OperationGetKRandomNeighbors;42421.4698;37384.24071911973;8058.0;573697.0;
OperationGetKHopNeighbors;1434671.1422;3469672.751245612;9058.0;1.891474E7;
OperationGetShortestPath;6157860.422;8468669.511924725;9828.0;2.6703179E7;
OperationGlobalClusteringCoefficient;6.35711708E8;0.0;6.35711708E8;6.35711708E8;
OperationNetworkAverageClusteringCoefficient;2.17855252E8;0.0;2.17855252E8;2.17855252E8;
