operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1062216.5714285714;137676.72258680803;720344.0;1406572.0;
OperationGenerateGraph;2.60689958E8;0.0;2.60689958E8;2.60689958E8;
OperationShutdownGraph;1.0960768714285715E7;3.764504470520519E7;89736.0;1.46680447E8;
OperationDoGC;3.454664763571429E9;8586907.673498813;3.443303091E9;3.475092347E9;
OperationGetManyVertices;1546296.0;0.0;1546296.0;1546296.0;
OperationGetManyVertexProperties;2.2927154E7;0.0;2.2927154E7;2.2927154E7;
OperationGetManyEdges;5922629.0;0.0;5922629.0;5922629.0;
OperationGetManyEdgeProperties;2.3419803E7;0.0;2.3419803E7;2.3419803E7;
OperationGetFirstNeighbor;25488.164;11204.949612162656;11373.0;69154.0;
OperationGetRandomNeighbor;37150.174;18456.6713168362;9183.0;237460.0;
OperationGetAllNeighbors;44399.043;34087.82839605876;9526.0;612611.0;
OperationGetKFirstNeighbors;35072.301;14146.473442112663;12052.0;290108.0;
OperationGetKRandomNeighbors;43885.138;33105.87514627812;10732.0;439284.0;
OperationGetKHopNeighbors;141590.961;331844.1576161128;10986.0;5381974.0;
OperationGetShortestPath;2740206.284;5248387.776368094;11243.0;2.4065958E7;
OperationGlobalClusteringCoefficient;4.81973199E8;0.0;4.81973199E8;4.81973199E8;
OperationNetworkAverageClusteringCoefficient;1.33488718E8;0.0;1.33488718E8;1.33488718E8;
