operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.148            0.101         1.015           1.405    
OperationGenerateGraph                                287.641            0.000       287.641         287.641    
OperationShutdownGraph                                  9.982           34.106         0.084         132.940    
OperationDoGC                                        3452.072            8.613      3441.437        3478.251    
OperationGetManyVertices                                1.687            0.000         1.687           1.687    
OperationGetManyVertexProperties                       17.330            0.000        17.330          17.330    
OperationGetManyEdges                                   6.349            0.000         6.349           6.349    
OperationGetManyEdgeProperties                         19.039            0.000        19.039          19.039    
OperationGetFirstNeighbor                               0.026            0.010         0.012           0.106    
OperationGetRandomNeighbor                              0.042            0.019         0.009           0.321    
OperationGetAllNeighbors                                0.046            0.029         0.011           0.541    
OperationGetKFirstNeighbors                             0.036            0.012         0.012           0.098    
OperationGetKRandomNeighbors                            0.049            0.028         0.011           0.235    
OperationGetKHopNeighbors                               0.161            0.252         0.011           5.224    
OperationGetShortestPath                                5.736            7.734         0.012          25.505    
OperationGlobalClusteringCoefficient                  638.948            0.000       638.948         638.948    
OperationNetworkAverageClusteringCoefficient          220.171            0.000       220.171         220.171    
