operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1117261.8846153845;109572.61434049004;746906.0;1206385.0;
OperationGenerateGraph;2.95597024E8;0.0;2.95597024E8;2.95597024E8;
OperationShutdownGraph;6287864.5;2.850890711386898E7;87755.0;1.48790684E8;
OperationDoGC;3.459729047E9;7698717.844519527;3.446799569E9;3.479352346E9;
OperationGetManyVertices;1581165.0;0.0;1581165.0;1581165.0;
OperationGetManyVertexProperties;1.6154048E7;0.0;1.6154048E7;1.6154048E7;
OperationGetManyEdges;6686787.0;0.0;6686787.0;6686787.0;
OperationGetManyEdgeProperties;1.998609E7;0.0;1.998609E7;1.998609E7;
OperationGetFirstNeighbor;22003.862;5178.319999860569;11390.0;88797.0;
OperationGetRandomNeighbor;29503.278;16448.0901647187;8281.0;383143.0;
OperationGetAllNeighbors;36718.897;25274.225762392623;11567.0;509477.0;
OperationGetKFirstNeighbors;29250.0326;12500.16197186009;8267.0;109350.0;
OperationGetKRandomNeighbors;50706.9046;39346.717974538915;8792.0;503591.0;
OperationGetKHopNeighbors;1518772.6764;3441052.6175966277;8840.0;1.7488285E7;
OperationGetShortestPath;7242947.5;8662081.39182762;9778.0;2.617584E7;
OperationGlobalClusteringCoefficient;6.63049092E8;0.0;6.63049092E8;6.63049092E8;
OperationNetworkAverageClusteringCoefficient;2.3376114E8;0.0;2.3376114E8;2.3376114E8;
