operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1074191.2692307692;111969.57869492867;695792.0;1218424.0;
OperationGenerateGraph;2.48575892E8;0.0;2.48575892E8;2.48575892E8;
OperationShutdownGraph;5751205.307692308;2.6196367880331516E7;84494.0;1.36703947E8;
OperationDoGC;3.455623820769231E9;7260319.931047532;3.44381607E9;3.472095778E9;
OperationGetManyVertices;1998217.0;0.0;1998217.0;1998217.0;
OperationGetManyVertexProperties;2.0230138E7;0.0;2.0230138E7;2.0230138E7;
OperationGetManyEdges;6172251.0;0.0;6172251.0;6172251.0;
OperationGetManyEdgeProperties;2.5903851E7;0.0;2.5903851E7;2.5903851E7;
OperationGetFirstNeighbor;23344.429;7917.117696924745;10930.0;77757.0;
OperationGetRandomNeighbor;34926.722;19520.664205879788;8394.0;214825.0;
OperationGetAllNeighbors;35629.066;32566.295776763498;8331.0;499424.0;
OperationGetKFirstNeighbors;26739.7806;13876.410008718503;7764.0;102219.0;
OperationGetKRandomNeighbors;33654.9412;30269.646956661778;8163.0;567589.0;
OperationGetKHopNeighbors;616462.9456;2080745.974784491;8796.0;1.8858763E7;
OperationGetShortestPath;2129096.51;4514826.302187951;1799.0;2.5503798E7;
OperationGlobalClusteringCoefficient;4.35906601E8;0.0;4.35906601E8;4.35906601E8;
OperationNetworkAverageClusteringCoefficient;1.16509663E8;0.0;1.16509663E8;1.16509663E8;
