operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1043065.9285714285;316003.6928187174;652122.0;1842444.0;
OperationGenerateGraph;2.51867202E8;0.0;2.51867202E8;2.51867202E8;
OperationShutdownGraph;1.2392443642857144E7;4.2758689750159994E7;90390.0;1.66550628E8;
OperationDoGC;3.456753649714286E9;6633220.9930744;3.448466869E9;3.470748299E9;
OperationGetManyVertices;1640219.0;0.0;1640219.0;1640219.0;
OperationGetManyVertexProperties;2.2839394E7;0.0;2.2839394E7;2.2839394E7;
OperationGetManyEdges;6105460.0;0.0;6105460.0;6105460.0;
OperationGetManyEdgeProperties;2.5696805E7;0.0;2.5696805E7;2.5696805E7;
OperationGetFirstNeighbor;37686.148;8717.231125426017;23388.0;120648.0;
OperationGetRandomNeighbor;39049.064;23557.333319200283;9548.0;298899.0;
OperationGetAllNeighbors;38994.719;28966.09781237436;9546.0;361401.0;
OperationGetKFirstNeighbors;31161.042;13832.218194137768;12352.0;73662.0;
OperationGetKRandomNeighbors;36145.247;23607.397425213785;11012.0;264825.0;
OperationGetKHopNeighbors;120521.249;243986.06033998946;10867.0;2941158.0;
OperationGetShortestPath;1645590.414;3947412.968150053;3663.0;2.4461732E7;
OperationGlobalClusteringCoefficient;4.48840792E8;0.0;4.48840792E8;4.48840792E8;
OperationNetworkAverageClusteringCoefficient;1.15452407E8;0.0;1.15452407E8;1.15452407E8;
