operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1183801.3461538462;223328.91097901433;757670.0;2170436.0;
OperationGenerateGraph;3.14734259E8;0.0;3.14734259E8;3.14734259E8;
OperationShutdownGraph;7434813.884615385;3.4529103005878665E7;85847.0;1.80053721E8;
OperationDoGC;3.4576999398846154E9;6000569.003468757;3.446072444E9;3.472975229E9;
OperationGetManyVertices;1629417.0;0.0;1629417.0;1629417.0;
OperationGetManyVertexProperties;1.9159299E7;0.0;1.9159299E7;1.9159299E7;
OperationGetManyEdges;6389639.0;0.0;6389639.0;6389639.0;
OperationGetManyEdgeProperties;1.9433699E7;0.0;1.9433699E7;1.9433699E7;
OperationGetFirstNeighbor;19487.557;5089.052994885293;10904.0;102409.0;
OperationGetRandomNeighbor;40338.073;17173.97724103742;8641.0;194214.0;
OperationGetAllNeighbors;50392.106;42192.01436929461;8320.0;726761.0;
OperationGetKFirstNeighbors;28283.7844;12095.747721638221;8126.0;119801.0;
OperationGetKRandomNeighbors;44301.624;33748.12067668692;8784.0;457965.0;
OperationGetKHopNeighbors;1313449.8638;3249375.4455139157;7982.0;1.9342081E7;
OperationGetShortestPath;5489017.404;7704770.572060411;9710.0;2.6221034E7;
OperationGlobalClusteringCoefficient;6.25520236E8;0.0;6.25520236E8;6.25520236E8;
OperationNetworkAverageClusteringCoefficient;1.95437889E8;0.0;1.95437889E8;1.95437889E8;
