operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1292243.423076923;824389.6694351978;739877.0;5240786.0;
OperationGenerateGraph;3.23028706E8;0.0;3.23028706E8;3.23028706E8;
OperationShutdownGraph;5552409.538461538;2.50410593381814E7;85380.0;1.30717642E8;
OperationDoGC;3.4672474203846154E9;6692777.237936907;3.456680395E9;3.483503521E9;
OperationGetManyVertices;1522363.0;0.0;1522363.0;1522363.0;
OperationGetManyVertexProperties;1.7588395E7;0.0;1.7588395E7;1.7588395E7;
OperationGetManyEdges;6059798.0;0.0;6059798.0;6059798.0;
OperationGetManyEdgeProperties;2.2272129E7;0.0;2.2272129E7;2.2272129E7;
OperationGetFirstNeighbor;28293.645;9028.400968221056;11087.0;99154.0;
OperationGetRandomNeighbor;29068.432;18115.01333936511;7793.0;276326.0;
OperationGetAllNeighbors;38318.59;25504.134494075668;11586.0;225946.0;
OperationGetKFirstNeighbors;28866.5522;29334.779634837498;7580.0;1713766.0;
OperationGetKRandomNeighbors;32939.1246;26953.45383409468;7895.0;366823.0;
OperationGetKHopNeighbors;1043633.4534;2828426.849480151;8755.0;1.6897832E7;
OperationGetShortestPath;4114726.614;6617942.893432212;1751.0;2.4866414E7;
OperationGlobalClusteringCoefficient;5.16367093E8;0.0;5.16367093E8;5.16367093E8;
OperationNetworkAverageClusteringCoefficient;1.59456743E8;0.0;1.59456743E8;1.59456743E8;
