operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1092352.9285714286;211991.8095474662;723317.0;1482091.0;
OperationGenerateGraph;2.87552988E8;0.0;2.87552988E8;2.87552988E8;
OperationShutdownGraph;1.010278257142857E7;3.447866754392708E7;86813.0;1.34404241E8;
OperationDoGC;3.456013168571429E9;5046542.8192162085;3.450233861E9;3.467805395E9;
OperationGetManyVertices;1679139.0;0.0;1679139.0;1679139.0;
OperationGetManyVertexProperties;2.0098128E7;0.0;2.0098128E7;2.0098128E7;
OperationGetManyEdges;6220767.0;0.0;6220767.0;6220767.0;
OperationGetManyEdgeProperties;2.0053435E7;0.0;2.0053435E7;2.0053435E7;
OperationGetFirstNeighbor;21965.902;7801.879765697245;11487.0;117382.0;
OperationGetRandomNeighbor;34012.08;22450.53792699854;9089.0;573223.0;
OperationGetAllNeighbors;35502.764;27019.084015345587;9144.0;544418.0;
OperationGetKFirstNeighbors;30239.042;13010.585717339392;12201.0;94763.0;
OperationGetKRandomNeighbors;45822.376;34803.92195507032;10502.0;520069.0;
OperationGetKHopNeighbors;158922.605;282165.53772967233;10915.0;4542245.0;
OperationGetShortestPath;5011858.544;7555146.288938844;12159.0;2.976521E7;
OperationGlobalClusteringCoefficient;5.28355242E8;0.0;5.28355242E8;5.28355242E8;
OperationNetworkAverageClusteringCoefficient;1.71931446E8;0.0;1.71931446E8;1.71931446E8;
