operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1148048.5;101395.23559654354;1014778.0;1404739.0;
OperationGenerateGraph;2.8764086E8;0.0;2.8764086E8;2.8764086E8;
OperationShutdownGraph;9982130.0;3.4106150683294736E7;84001.0;1.32940269E8;
OperationDoGC;3.452071979428571E9;8613289.63141095;3.441436539E9;3.478251249E9;
OperationGetManyVertices;1686555.0;0.0;1686555.0;1686555.0;
OperationGetManyVertexProperties;1.7330002E7;0.0;1.7330002E7;1.7330002E7;
OperationGetManyEdges;6348940.0;0.0;6348940.0;6348940.0;
OperationGetManyEdgeProperties;1.9038534E7;0.0;1.9038534E7;1.9038534E7;
OperationGetFirstNeighbor;25783.469;10416.023001080554;11605.0;106094.0;
OperationGetRandomNeighbor;42237.12;19097.454837742134;9292.0;320787.0;
OperationGetAllNeighbors;45957.136;28925.256891469515;10826.0;541449.0;
OperationGetKFirstNeighbors;35821.492;11607.874836848296;12090.0;98229.0;
OperationGetKRandomNeighbors;48896.688;28016.682121919013;10758.0;234613.0;
OperationGetKHopNeighbors;160822.495;252181.7406018207;11411.0;5223606.0;
OperationGetShortestPath;5736182.51;7733790.72858024;11966.0;2.550461E7;
OperationGlobalClusteringCoefficient;6.38948195E8;0.0;6.38948195E8;6.38948195E8;
OperationNetworkAverageClusteringCoefficient;2.20171182E8;0.0;2.20171182E8;2.20171182E8;
