operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1075066.5384615385;162731.42515961474;694490.0;1347749.0;
OperationGenerateGraph;2.60192994E8;0.0;2.60192994E8;2.60192994E8;
OperationShutdownGraph;5500791.0;2.5218470169235315E7;84813.0;1.31569716E8;
OperationDoGC;3.4547558681923075E9;7025144.5030806195;3.444821538E9;3.468203285E9;
OperationGetManyVertices;1550200.0;0.0;1550200.0;1550200.0;
OperationGetManyVertexProperties;1.8085789E7;0.0;1.8085789E7;1.8085789E7;
OperationGetManyEdges;6060112.0;0.0;6060112.0;6060112.0;
OperationGetManyEdgeProperties;2.2428746E7;0.0;2.2428746E7;2.2428746E7;
OperationGetFirstNeighbor;27723.813;8523.103684106572;10960.0;87150.0;
OperationGetRandomNeighbor;46571.759;33025.993618768225;8229.0;558601.0;
OperationGetAllNeighbors;36767.118;35551.19633838045;8323.0;687319.0;
OperationGetKFirstNeighbors;22068.4414;10346.944493258188;7542.0;164030.0;
OperationGetKRandomNeighbors;36775.2598;34962.99007603193;7970.0;497050.0;
OperationGetKHopNeighbors;814450.7292;2472426.201061821;8538.0;1.7364424E7;
OperationGetShortestPath;2098966.758;4560221.385022829;1852.0;2.4431475E7;
OperationGlobalClusteringCoefficient;4.83861974E8;0.0;4.83861974E8;4.83861974E8;
OperationNetworkAverageClusteringCoefficient;1.37244616E8;0.0;1.37244616E8;1.37244616E8;
