operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1193705.857142857;90712.60466743869;1071735.0;1468515.0;
OperationGenerateGraph;2.6967123E8;0.0;2.6967123E8;2.6967123E8;
OperationShutdownGraph;9412600.57142857;3.2069389951100633E7;86447.0;1.25026899E8;
OperationDoGC;3.454128224142857E9;6629241.607603724;3.441005274E9;3.464651457E9;
OperationGetManyVertices;1658808.0;0.0;1658808.0;1658808.0;
OperationGetManyVertexProperties;1.8316933E7;0.0;1.8316933E7;1.8316933E7;
OperationGetManyEdges;5960661.0;0.0;5960661.0;5960661.0;
OperationGetManyEdgeProperties;2.2034577E7;0.0;2.2034577E7;2.2034577E7;
OperationGetFirstNeighbor;19837.025;6971.811742178308;11637.0;86829.0;
OperationGetRandomNeighbor;42823.562;19968.750779859904;9256.0;195735.0;
OperationGetAllNeighbors;41097.244;34208.36474259567;8946.0;334821.0;
OperationGetKFirstNeighbors;23680.98;5865.268370296444;12456.0;90303.0;
OperationGetKRandomNeighbors;31520.377;18597.810138908037;10661.0;221008.0;
OperationGetKHopNeighbors;124694.044;215701.6344491392;11104.0;2973920.0;
OperationGetShortestPath;4061443.486;6512932.510236816;11740.0;2.3783915E7;
OperationGlobalClusteringCoefficient;5.3096493E8;0.0;5.3096493E8;5.3096493E8;
OperationNetworkAverageClusteringCoefficient;1.60992592E8;0.0;1.60992592E8;1.60992592E8;
