operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1211047.8846153845;440651.0436066623;718064.0;2563546.0;
OperationGenerateGraph;3.17325952E8;0.0;3.17325952E8;3.17325952E8;
OperationShutdownGraph;5497881.923076923;2.4932645996143147E7;81444.0;1.30124245E8;
OperationDoGC;3.4600975525E9;6241730.143162787;3.451093654E9;3.477493366E9;
OperationGetManyVertices;1581282.0;0.0;1581282.0;1581282.0;
OperationGetManyVertexProperties;1.9532907E7;0.0;1.9532907E7;1.9532907E7;
OperationGetManyEdges;6072719.0;0.0;6072719.0;6072719.0;
OperationGetManyEdgeProperties;2.2555598E7;0.0;2.2555598E7;2.2555598E7;
OperationGetFirstNeighbor;20461.159;7273.328737498323;10230.0;113802.0;
OperationGetRandomNeighbor;26405.694;15349.111912236625;8533.0;228221.0;
OperationGetAllNeighbors;36233.24;31374.757764776412;7604.0;562368.0;
OperationGetKFirstNeighbors;27322.1478;15706.158824217828;7580.0;104951.0;
OperationGetKRandomNeighbors;38695.082;33119.47146793375;8106.0;490904.0;
OperationGetKHopNeighbors;875586.3564;2577063.0968531594;8102.0;1.7585832E7;
OperationGetShortestPath;2857865.038;5381713.340354822;9694.0;2.3772355E7;
OperationGlobalClusteringCoefficient;5.19666976E8;0.0;5.19666976E8;5.19666976E8;
OperationNetworkAverageClusteringCoefficient;1.52189938E8;0.0;1.52189938E8;1.52189938E8;
