operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.043            0.316         0.652           1.842    
OperationGenerateGraph                                251.867            0.000       251.867         251.867    
OperationShutdownGraph                                 12.392           42.759         0.090         166.551    
OperationDoGC                                        3456.754            6.633      3448.467        3470.748    
OperationGetManyVertices                                1.640            0.000         1.640           1.640    
OperationGetManyVertexProperties                       22.839            0.000        22.839          22.839    
OperationGetManyEdges                                   6.105            0.000         6.105           6.105    
OperationGetManyEdgeProperties                         25.697            0.000        25.697          25.697    
OperationGetFirstNeighbor                               0.038            0.009         0.023           0.121    
OperationGetRandomNeighbor                              0.039            0.024         0.010           0.299    
OperationGetAllNeighbors                                0.039            0.029         0.010           0.361    
OperationGetKFirstNeighbors                             0.031            0.014         0.012           0.074    
OperationGetKRandomNeighbors                            0.036            0.024         0.011           0.265    
OperationGetKHopNeighbors                               0.121            0.244         0.011           2.941    
OperationGetShortestPath                                1.646            3.947         0.004          24.462    
OperationGlobalClusteringCoefficient                  448.841            0.000       448.841         448.841    
OperationNetworkAverageClusteringCoefficient          115.452            0.000       115.452         115.452    
