operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.154            0.157         0.709           1.486    
OperationGenerateGraph                                296.079            0.000       296.079         296.079    
OperationShutdownGraph                                 10.338           35.458         0.089         138.170    
OperationDoGC                                        3456.839            4.719      3450.637        3466.984    
OperationGetManyVertices                                1.607            0.000         1.607           1.607    
OperationGetManyVertexProperties                       19.122            0.000        19.122          19.122    
OperationGetManyEdges                                   6.381            0.000         6.381           6.381    
OperationGetManyEdgeProperties                         19.681            0.000        19.681          19.681    
OperationGetFirstNeighbor                               0.021            0.007         0.011           0.072    
OperationGetRandomNeighbor                              0.030            0.014         0.010           0.255    
OperationGetAllNeighbors                                0.032            0.029         0.009           0.517    
OperationGetKFirstNeighbors                             0.024            0.006         0.012           0.107    
OperationGetKRandomNeighbors                            0.033            0.020         0.011           0.242    
OperationGetKHopNeighbors                               0.139            0.240         0.011           4.242    
OperationGetShortestPath                                5.265            7.564         0.012          25.360    
OperationGlobalClusteringCoefficient                  613.705            0.000       613.705         613.705    
OperationNetworkAverageClusteringCoefficient          189.782            0.000       189.782         189.782    
