operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.381            0.517         0.852           2.692    
OperationGenerateGraph                                381.757            0.000       381.757         381.757    
OperationShutdownGraph                                  7.155           28.202         0.087         145.985    
OperationDoGC                                        3457.483            6.557      3447.365        3477.475    
OperationGetManyVertices                                1.625            0.000         1.625           1.625    
OperationGetManyVertexProperties                       17.334            0.000        17.334          17.334    
OperationGetManyEdges                                   6.247            0.000         6.247           6.247    
OperationGetManyEdgeProperties                         19.027            0.000        19.027          19.027    
OperationGetFirstNeighbor                               0.018            0.006         0.010           0.124    
OperationGetRandomNeighbor                              0.035            0.016         0.009           0.257    
OperationGetAllNeighbors                                0.046            0.039         0.008           0.718    
OperationGetKFirstNeighbors                             0.030            0.015         0.008           0.094    
OperationGetKRandomNeighbors                            0.042            0.037         0.008           0.574    
OperationGetKHopNeighbors                               1.435            3.470         0.009          18.915    
OperationGetShortestPath                                6.158            8.469         0.010          26.703    
OperationGlobalClusteringCoefficient                  635.712            0.000       635.712         635.712    
OperationNetworkAverageClusteringCoefficient          217.855            0.000       217.855         217.855    
