operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     48.354            4.169        43.344          56.454    
OperationGetManyVertices                                0.477            0.000         0.477           0.477    
OperationShutdownGraph                                458.606           75.073       412.581         708.403    
OperationDoGC                                        3522.383            3.313      3517.618        3529.441    
OperationGetManyVertexProperties                       12.818            0.000        12.818          12.818    
OperationGetManyEdges                                   0.795            0.000         0.795           0.795    
OperationGetManyEdgeProperties                         15.951            0.000        15.951          15.951    
OperationGetFirstNeighbor                               0.023            0.016         0.005           0.145    
OperationGetRandomNeighbor                              0.027            0.020         0.003           0.277    
OperationGetAllNeighbors                                0.022            0.018         0.003           0.325    
OperationGetKFirstNeighbors                             0.025            0.020         0.005           0.180    
OperationGetKRandomNeighbors                            0.029            0.025         0.003           0.349    
OperationGetKHopNeighbors                               0.043            0.091         0.004           1.476    
OperationGetShortestPath                                0.565            1.729         0.004          11.872    
OperationGlobalClusteringCoefficient                   52.045            0.000        52.045          52.045    
OperationNetworkAverageClusteringCoefficient           23.239            0.000        23.239          23.239    
