operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     46.460            3.856        43.223          57.400    
OperationGetManyVertices                                0.325            0.056         0.265           0.417    
OperationShutdownGraph                                414.166           52.908       334.353         510.431    
OperationDoGC                                        3509.863            4.728      3503.640        3519.440    
OperationGetManyVertexProperties                       11.644            0.624        10.651          12.340    
OperationGetManyEdges                                   0.926            0.167         0.675           1.143    
OperationGetManyEdgeProperties                         47.877            6.321        39.442          56.935    
OperationGetFirstNeighbor                               0.024            0.057         0.005           2.559    
OperationGetRandomNeighbor                              0.021            0.048         0.002           1.973    
OperationGetAllNeighbors                                0.017            0.027         0.002           0.752    
OperationGetKFirstNeighbors                             0.027            0.054         0.002           2.674    
OperationGetKRandomNeighbors                            0.023            0.047         0.003           2.036    
OperationGetKHopNeighbors                               0.039            0.104         0.002           2.277    
OperationGetShortestPath                                1.399            4.157         0.002          33.890    
OperationGlobalClusteringCoefficient                  101.798            9.610        91.785         111.554    
OperationNetworkAverageClusteringCoefficient           44.946            4.253        37.788          48.758    
