operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     52.258            3.034        47.872          58.395    
OperationGetManyVertices                                0.285            0.290         0.076           1.191    
OperationShutdownGraph                                451.800           85.991       378.525         695.238    
OperationDoGC                                        3520.590            7.084      3510.264        3534.015    
OperationGetManyVertexProperties                        6.354           16.088         0.171          66.540    
OperationGetManyEdges                                   4.360           10.566         0.218          40.701    
OperationGetManyEdgeProperties                         14.994           18.095         0.501          63.456    
OperationGetFirstNeighbor                               0.012            0.055         0.002           5.882    
OperationGetRandomNeighbor                              0.014            0.157         0.002          18.677    
OperationGetAllNeighbors                                0.015            0.150         0.002          18.386    
OperationGetKFirstNeighbors                             0.013            0.103         0.002          12.447    
OperationGetKRandomNeighbors                            0.016            0.039         0.002           2.415    
OperationGetKHopNeighbors                               0.043            0.368         0.002          42.444    
OperationGetShortestPath                                1.142            3.565         0.002          57.856    
OperationGlobalClusteringCoefficient                  223.607           25.134       152.453         254.137    
OperationNetworkAverageClusteringCoefficient           54.368           12.778        28.551          78.815    
