operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.7020519615384616E7;4886949.928408935;3.7810274E7;5.632728E7;
OperationGetManyVertices;288615.0;67868.0;220747.0;356483.0;
OperationShutdownGraph;4.4369783438461536E8;4.449904776119609E7;3.38888929E8;5.18807096E8;
OperationDoGC;3.5269141913846154E9;7315094.357431831;3.519182126E9;3.550511544E9;
OperationGetManyVertexProperties;1.0161816E7;412892.0;9748924.0;1.0574708E7;
OperationGetManyEdges;910078.0;95062.0;815016.0;1005140.0;
OperationGetManyEdgeProperties;3.16090015E7;1658004.5;2.9950997E7;3.3267006E7;
OperationGetFirstNeighbor;30892.9415;40919.451804136785;4961.0;1261245.0;
OperationGetRandomNeighbor;34161.503;40140.06252356854;2933.0;567990.0;
OperationGetAllNeighbors;27799.398;35081.84776068094;2153.0;639992.0;
OperationGetKFirstNeighbors;37367.8185;38329.42774837055;5637.0;585900.0;
OperationGetKRandomNeighbors;31626.5695;42845.22723844708;2509.0;753280.0;
OperationGetKHopNeighbors;48694.3055;162134.16162179137;2878.0;4100577.0;
OperationGetShortestPath;768418.92;2360527.19014424;1739.0;2.0610163E7;
OperationGlobalClusteringCoefficient;8.6204805E7;297084.0;8.5907721E7;8.6501889E7;
OperationNetworkAverageClusteringCoefficient;3.889736E7;113457.0;3.8783903E7;3.9010817E7;
