operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.5841486692307696E7;5101808.769333923;3.7146976E7;5.7867241E7;
OperationGetManyVertices;894727.5;1694457.596706908;88980.0;5361336.0;
OperationShutdownGraph;3.9350243615384614E8;5.424668501680294E7;3.43873816E8;5.01398862E8;
OperationDoGC;3.5129167986923075E9;4500734.240023226;3.50412165E9;3.520414545E9;
OperationGetManyVertexProperties;2737627.25;3042781.843057178;236150.0;9721743.0;
OperationGetManyEdges;1566017.125;1892853.318741011;283556.0;5995548.0;
OperationGetManyEdgeProperties;4.7618173875E7;1.5304508981564457E7;2.5682725E7;8.1203698E7;
OperationGetFirstNeighbor;22787.683625;62569.97575589896;4914.0;5078174.0;
OperationGetRandomNeighbor;13582.3985;37172.09254216387;2135.0;2768513.0;
OperationGetAllNeighbors;15317.295125;187918.7715681495;1865.0;1.3673873E7;
OperationGetKFirstNeighbors;13969.910875;25680.67357264862;1874.0;584057.0;
OperationGetKRandomNeighbors;17386.999375;28584.39667933585;2613.0;684340.0;
OperationGetKHopNeighbors;43220.47175;161561.81770547995;2710.0;8307697.0;
OperationGetShortestPath;1208534.6075;3728499.490080369;2141.0;4.3625833E7;
OperationGlobalClusteringCoefficient;1.2737499625E8;6824948.64116692;1.19389298E8;1.40200718E8;
OperationNetworkAverageClusteringCoefficient;4.7137733E7;9445422.832332123;3.0182422E7;6.1778296E7;
